reactions	GI_12
K00001	22.2648880444655
K00003	19.4178561791689
K00004	0
K00005	2.23809523809524
K00006	25.4872376876867
K00007	0
K00008	1
K00009	2.23809523809524
K00010	0.142857142857143
K00011	22.7023880444655
K00012	5.76461154798311
K00013	17.3226180839308
K00014	19.4178561791689
K00015	0
K00016	9.20827039740667
K00018	0
K00019	0.142857142857143
K00020	5
K00021	0
K00022	5
K00024	4.56461154798311
K00025	4.56461154798311
K00026	4.56461154798311
K00027	1.00892857142857
K00028	1.00892857142857
K00029	16.4565466553594
K00030	0
K00031	6.028500436872
K00033	0.580357142857143
K00034	0
K00036	0.142857142857143
K00039	0
K00040	2.66666666666667
K00041	0.428571428571429
K00042	4.43809523809524
K00043	0
K00045	0
K00046	0.142857142857143
K00048	0.571428571428571
K00049	0
K00050	0
K00052	18.9803561791689
K00053	17.0845228458356
K00054	0
K00057	25.4872376876867
K00058	23.5914043543534
K00059	23.8294995924486
K00060	3.23809523809524
K00066	0
K00067	6.43127821464977
K00068	0.142857142857143
K00073	0.142857142857143
K00074	0
K00075	24.9247376876867
K00077	19.4178561791689
K00082	3.23187345274501
K00086	0
K00087	3.2952380952381
K00088	23.8294995924486
K00090	0.142857142857143
K00094	0.142857142857143
K00096	25.4872376876867
K00097	4.12711154798311
K00098	0.142857142857143
K00099	25.9247376876867
K00100	3.33333333333333
K00101	9.20827039740667
K00102	1.14285714285714
K00103	0
K00104	2.2
K00105	0
K00106	3.2952380952381
K00110	3.43809523809524
K00111	0
K00112	0
K00113	0
K00116	0
K00121	22.2648880444655
K00122	4.57142857142857
K00123	0
K00125	0
K00126	0
K00128	2.47619047619048
K00130	0
K00132	0.571428571428571
K00133	25.9247376876867
K00134	23.8294995924486
K00135	2.23809523809524
K00137	2.47619047619048
K00139	0.142857142857143
K00140	0.142857142857143
K00145	18.9803561791689
K00146	0
K00147	17.3226180839308
K00149	2.47619047619048
K00150	23.8294995924486
K00151	0.142857142857143
K00156	1.14285714285714
K00158	0
K00160	3.67559523809524
K00161	19.4178561791689
K00162	19.4178561791689
K00163	19.4178561791689
K00164	1.58035714285714
K00165	0
K00166	0
K00167	0
K00169	23.3432610603385
K00170	23.3432610603385
K00171	23.3432610603385
K00172	23.3432610603385
K00174	2.52651630988787
K00175	2.52651630988787
K00176	2.52651630988787
K00177	2.52651630988787
K00179	0
K00199	0
K00207	0
K00208	5.59992900830057
K00209	2.47619047619048
K00210	5.35290519877676
K00211	5.35290519877676
K00215	2.77142857142857
K00216	0.142857142857143
K00220	18.9803561791689
K00226	1.57142857142857
K00228	2.90476190476191
K00229	2.23809523809524
K00231	0
K00238	6.89794488131644
K00239	8.09794488131644
K00240	8.09794488131644
K00241	8.09794488131644
K00242	8.09794488131644
K00244	8.09794488131644
K00245	8.09794488131644
K00246	8.09794488131644
K00247	8.09794488131644
K00248	9.00886563550191
K00249	0.142857142857143
K00252	0
K00253	0
K00254	25.9247376876867
K00259	0.4375
K00260	0.629095674967235
K00261	17.7253958617086
K00262	17.2878958617086
K00263	0
K00264	24.5982213777988
K00265	24.5982213777988
K00266	24.5982213777988
K00271	0
K00273	0
K00274	0
K00275	1.14285714285714
K00276	0
K00278	5.16242900830057
K00281	7.69516710353866
K00282	7.69516710353866
K00283	7.69516710353866
K00284	0
K00285	0.142857142857143
K00286	22.9404832825607
K00287	12.54160373074
K00288	23.8294995924486
K00294	1.14285714285714
K00297	19.3831339569467
K00299	1.14285714285714
K00301	0
K00302	0
K00303	0
K00304	0
K00305	0
K00306	0
K00318	1.14285714285714
K00319	0
K00320	0
K00322	2.67559523809524
K00323	2.67559523809524
K00324	2.67559523809524
K00325	2.67559523809524
K00329	3.66937345274501
K00357	1.14285714285714
K00360	2.47619047619048
K00361	2.23809523809524
K00362	2.23809523809524
K00364	2.23809523809524
K00365	0
K00366	0
K00368	0
K00370	2.47619047619048
K00371	2.47619047619048
K00372	2.47619047619048
K00374	2.47619047619048
K00376	0
K00380	3.23809523809524
K00381	3.23809523809524
K00382	7.69516710353866
K00383	2.23809523809524
K00384	16.5253958617086
K00385	3.23809523809524
K00390	3.23809523809524
K00392	1.14285714285714
K00394	1.2
K00395	1.2
K00399	0
K00401	0
K00402	0
K00411	0
K00432	0.142857142857143
K00436	0
K00440	0
K00441	0
K00442	0
K00443	0
K00448	0
K00449	0
K00451	0
K00453	0
K00455	0.142857142857143
K00457	0
K00463	0
K00466	0
K00472	0
K00480	0
K00483	0.142857142857143
K00484	0.142857142857143
K00491	0
K00500	0
K00518	3.72433377020533
K00522	0.142857142857143
K00524	2.23809523809524
K00525	2.23809523809524
K00526	2.23809523809524
K00527	25.4872376876867
K00528	0
K00529	0
K00531	0
K00540	0.142857142857143
K00547	0
K00548	0
K00549	2.23809523809524
K00560	3.67559523809524
K00568	0
K00577	0
K00578	0
K00579	0
K00580	0
K00581	0
K00582	0
K00583	0
K00584	0
K00589	1.14285714285714
K00591	0
K00593	2.20892857142857
K00595	1.34285714285714
K00598	1
K00599	4.43809523809524
K00600	5.07896825396825
K00601	25.5219599099089
K00602	25.9247376876867
K00603	2.33333333333333
K00605	7.69516710353866
K00606	7.66044488131644
K00607	0.629095674967235
K00608	25.9247376876867
K00609	25.9247376876867
K00610	25.9247376876867
K00611	25.0357213777988
K00615	25.9247376876867
K00616	4.57142857142857
K00618	16.1607843137255
K00620	16.1607843137255
K00625	11.0978819453898
K00626	8.77077039740667
K00627	3.23809523809524
K00629	24.5982213777988
K00632	2.66666666666667
K00634	0
K00639	3.72433377020533
K00640	25.5219599099089
K00641	1.4375
K00643	0
K00645	23.8294995924486
K00647	23.8294995924486
K00648	23.8294995924486
K00651	17.4941176470588
K00652	3.23187345274501
K00655	25.9247376876867
K00656	22.7511265765756
K00657	0.142857142857143
K00658	0
K00661	1.14285714285714
K00665	25.9247376876867
K00667	23.8294995924486
K00668	25.9247376876867
K00672	0
K00673	0.142857142857143
K00674	2.67559523809524
K00677	6.46044488131644
K00681	3.43809523809524
K00688	3.66666666666667
K00690	0
K00691	0
K00697	0.142857142857143
K00703	0.571428571428571
K00705	4.99318297655454
K00713	5.57142857142857
K00748	6.46044488131644
K00756	11.2972867072945
K00757	11.2972867072945
K00758	10.8597867072945
K00759	25.9247376876867
K00760	25.9247376876867
K00761	16.3730859010271
K00762	14.6306200406279
K00763	9.44636563550191
K00764	25.9247376876867
K00765	17.3226180839308
K00766	2.34285714285714
K00767	5.35290519877676
K00768	5.11369047619048
K00769	25.4384991555766
K00772	0
K00777	3.93611111111111
K00787	14.4877628977707
K00788	8.12373853211009
K00790	25.9247376876867
K00793	2.60277777777778
K00794	3.23187345274501
K00795	14.4877628977707
K00796	8.09794488131644
K00797	13.9607843137255
K00798	5.59992900830057
K00800	17.3226180839308
K00804	14.4877628977707
K00805	5.85714285714286
K00806	3.33333333333333
K00810	0.142857142857143
K00811	25.5219599099089
K00812	25.5219599099089
K00813	25.5219599099089
K00814	0.142857142857143
K00815	25.5219599099089
K00817	25.5219599099089
K00818	18.9803561791689
K00819	0
K00820	24.0357213777988
K00821	19.4178561791689
K00822	0
K00823	0.142857142857143
K00824	0
K00826	19.8206339569467
K00827	1.42857142857143
K00830	1.42857142857143
K00831	14.1920625283753
K00832	25.5219599099089
K00833	2.34285714285714
K00835	3.23809523809524
K00838	25.5219599099089
K00840	0.142857142857143
K00841	0
K00844	4.99318297655454
K00845	2.46044488131644
K00848	0.142857142857143
K00849	2.49516710353866
K00850	22.3914043543534
K00851	2.23809523809524
K00852	4.16183377020533
K00853	2.67559523809524
K00855	0
K00856	2.33333333333333
K00857	0.142857142857143
K00858	25.9247376876867
K00859	24.7247376876867
K00860	3.23809523809524
K00861	25.9247376876867
K00863	2.33333333333333
K00864	12.74160373074
K00865	4.5422619047619
K00867	25.9247376876867
K00868	2.91369047619048
K00869	0
K00872	6
K00873	21.4961662591153
K00875	5.00892857142857
K00876	23.8294995924486
K00877	5.5422619047619
K00878	3.90476190476191
K00879	1.14285714285714
K00882	0.571428571428571
K00883	0.142857142857143
K00884	0
K00885	2.23809523809524
K00891	19.3831339569467
K00892	0.142857142857143
K00893	2.33333333333333
K00895	3.12373853211009
K00899	0
K00901	4.57142857142857
K00904	0
K00912	4.36520678607835
K00917	22.3914043543534
K00919	23.8294995924486
K00925	24.4872376876867
K00926	0
K00927	25.4384991555766
K00928	0
K00929	0
K00930	18.9803561791689
K00931	17.3226180839308
K00932	24.4872376876867
K00938	0
K00939	25.9247376876867
K00940	6.77142857142857
K00941	5.5422619047619
K00942	25.9247376876867
K00943	25.9247376876867
K00944	3.90476190476191
K00945	25.9247376876867
K00948	23.8294995924486
K00949	20.1601261397036
K00950	5.36183377020533
K00951	24.9247376876867
K00952	25.9247376876867
K00953	25.9247376876867
K00954	25.9247376876867
K00955	4.43809523809524
K00956	4.43809523809524
K00957	4.43809523809524
K00958	4.43809523809524
K00963	16.4078081232493
K00964	0.571428571428571
K00966	0
K00969	25.9247376876867
K00971	3.18313492063492
K00972	25.0357213777988
K00973	7.32651630988787
K00975	3.10416666666667
K00978	1.77142857142857
K00979	5.16242900830057
K00980	1
K00981	25.9247376876867
K00983	0.428571428571429
K00991	14.6306200406279
K00995	22.9404832825607
K00997	5.11369047619048
K00998	5.07896825396825
K01000	25.9247376876867
K01005	14.6306200406279
K01006	4.19940476190476
K01007	1.34285714285714
K01008	1.34285714285714
K01011	2.23809523809524
K01012	2.78035714285714
K01027	0
K01028	0
K01029	0
K01034	0.142857142857143
K01035	0.142857142857143
K01047	0.142857142857143
K01048	5.4375
K01053	0
K01055	0
K01057	2.20892857142857
K01069	4.5422619047619
K01077	1.48623853211009
K01078	1.48623853211009
K01079	6.49516710353866
K01080	0
K01081	5.75568297655454
K01082	5.05766710353866
K01085	0.142857142857143
K01086	6.68623853211009
K01087	0.142857142857143
K01089	17.3226180839308
K01091	8.08901630988787
K01092	2.34285714285714
K01093	1.48623853211009
K01094	4.1047619047619
K01101	1.48623853211009
K01112	0
K01113	1.48623853211009
K01119	2.72433377020533
K01126	3.10416666666667
K01129	15.8016573295985
K01133	0.142857142857143
K01139	4.32711154798311
K01176	0
K01182	0
K01187	2.49516710353866
K01188	2.05766710353866
K01189	1.57142857142857
K01190	1.91480996068152
K01193	0
K01194	3.23809523809524
K01203	0
K01207	1.91480996068152
K01209	0
K01220	0
K01221	2.23809523809524
K01222	2.23809523809524
K01223	2.23809523809524
K01226	2.23809523809524
K01232	2.23809523809524
K01239	0.142857142857143
K01241	0.629095674967235
K01243	5.40277777777778
K01244	5.40277777777778
K01251	2.2
K01252	0.142857142857143
K01255	25.9247376876867
K01256	25.9247376876867
K01270	25.9247376876867
K01271	25.9247376876867
K01424	3.59040519877676
K01425	1.14285714285714
K01426	1
K01427	0
K01428	0
K01429	0
K01430	0
K01431	0
K01432	0
K01433	0.142857142857143
K01436	0
K01438	2.72433377020533
K01439	0.580357142857143
K01440	2.47619047619048
K01443	1.57142857142857
K01446	0
K01447	0
K01448	0
K01449	0
K01457	0.142857142857143
K01458	0
K01460	0.142857142857143
K01464	0
K01465	25.4384991555766
K01466	0.142857142857143
K01468	0.142857142857143
K01476	0
K01477	0
K01478	2.47619047619048
K01479	2.47619047619048
K01480	3.43809523809524
K01482	2.33333333333333
K01484	2.47619047619048
K01485	0.142857142857143
K01486	4.42857142857143
K01487	2.0952380952381
K01488	0.142857142857143
K01489	9.89788194538978
K01491	23.8294995924486
K01492	25.9247376876867
K01493	8.4216914691993
K01494	0.142857142857143
K01495	6.00270678607835
K01496	17.3226180839308
K01497	3.66937345274501
K01498	3.23187345274501
K01499	0
K01507	13.74160373074
K01509	0
K01510	0
K01512	0.142857142857143
K01513	0.142857142857143
K01514	2.23809523809524
K01515	16.5982843137255
K01517	16.5982843137255
K01518	0.428571428571429
K01519	24.4872376876867
K01520	24.4872376876867
K01521	2.23809523809524
K01523	17.3226180839308
K01524	2.23809523809524
K01525	2.23809523809524
K01529	0.142857142857143
K01533	0
K01553	0
K01556	0
K01568	19.4178561791689
K01571	1.57142857142857
K01572	1.57142857142857
K01573	1.57142857142857
K01575	0
K01579	4.92433377020533
K01580	4.92433377020533
K01581	5
K01582	20.0648880444655
K01583	22.6676658222433
K01584	22.6676658222433
K01585	22.6676658222433
K01586	25.5219599099089
K01587	25.9247376876867
K01591	25.9247376876867
K01595	0.142857142857143
K01596	14.6274509803922
K01597	0
K01598	13.7992708342787
K01599	2.67559523809524
K01607	2.2
K01608	0.142857142857143
K01609	2.34285714285714
K01610	0.428571428571429
K01611	0
K01613	7.66044488131644
K01619	2.58147662734819
K01620	0
K01621	0
K01622	25.9247376876867
K01623	25.9247376876867
K01624	25.9247376876867
K01625	1.05766710353866
K01626	24.7247376876867
K01627	1.62909567496723
K01628	2.23809523809524
K01629	0.142857142857143
K01630	2.23809523809524
K01631	0
K01632	0
K01633	4.12711154798311
K01635	0
K01637	2.23809523809524
K01638	2.23809523809524
K01639	2.23809523809524
K01640	0.142857142857143
K01641	0
K01643	0.142857142857143
K01644	0.142857142857143
K01646	0.142857142857143
K01647	15.6851180839308
K01649	18.9803561791689
K01652	19.4178561791689
K01653	19.4178561791689
K01654	0.428571428571429
K01655	0
K01656	2.82909567496723
K01657	2.82909567496723
K01658	2.82909567496723
K01659	0.142857142857143
K01661	1.98313492063492
K01662	23.8294995924486
K01663	17.3226180839308
K01664	4.92433377020533
K01665	4.92433377020533
K01666	0
K01670	0
K01672	2.23809523809524
K01673	2.23809523809524
K01674	2.23809523809524
K01676	19.8206339569467
K01677	19.8206339569467
K01678	19.8206339569467
K01679	19.8206339569467
K01680	6.49516710353866
K01681	6.49516710353866
K01682	6.49516710353866
K01684	0.142857142857143
K01685	1.34285714285714
K01686	2.66666666666667
K01687	16.6470228458356
K01689	14.2278422628501
K01690	0.142857142857143
K01692	4.57142857142857
K01693	17.3226180839308
K01694	3.26659567496723
K01695	0
K01696	0
K01697	0
K01698	2.78035714285714
K01699	0.142857142857143
K01702	18.9803561791689
K01703	18.9803561791689
K01704	18.9803561791689
K01706	0.142857142857143
K01707	0
K01708	2.23809523809524
K01709	1.34285714285714
K01710	7.32651630988787
K01711	0.142857142857143
K01712	0
K01713	18.9803561791689
K01714	2.77142857142857
K01715	4.57142857142857
K01716	18.5517847505975
K01718	25.9247376876867
K01719	4.87559523809524
K01720	0.142857142857143
K01724	0
K01725	0
K01733	18.4178561791689
K01734	11.8655462184874
K01735	25.9247376876867
K01736	23.8294995924486
K01737	0
K01738	23.4267218146708
K01739	18.4941176470588
K01740	23.4267218146708
K01744	7.6375
K01745	0.142857142857143
K01746	2.33333333333333
K01749	4.87559523809524
K01750	0
K01752	5.79040519877676
K01753	0.142857142857143
K01754	11.8945089295168
K01755	19.4178561791689
K01756	25.9247376876867
K01758	2.23809523809524
K01759	0.142857142857143
K01760	3.23809523809524
K01761	0
K01768	3.67559523809524
K01770	25.9247376876867
K01772	2.91369047619048
K01773	0
K01775	25.5219599099089
K01776	13.2020486120564
K01777	0
K01778	11.4082703974067
K01782	5
K01783	25.9247376876867
K01784	23.8294995924486
K01785	2.46044488131644
K01786	2.66666666666667
K01787	1.48623853211009
K01788	2.23809523809524
K01790	5.43127821464977
K01791	2.64087301587302
K01792	25.9247376876867
K01803	25.9247376876867
